ConditionName,Outcome,CountryName,Date,SourceName,CountValue
COVID-19,Unspecified,AUSTRALIA,2020-01-04,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-05,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-06,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-07,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-08,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-09,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-10,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-11,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-12,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-13,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-14,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-15,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-16,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-17,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-18,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-19,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-20,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-21,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-22,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-23,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-24,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-25,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-01-26,World Health Organization COVID-19 Dashboard,3.0
COVID-19,Unspecified,AUSTRALIA,2020-01-27,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-28,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-01-29,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-01-30,World Health Organization COVID-19 Dashboard,2.0
COVID-19,Unspecified,AUSTRALIA,2020-01-31,World Health Organization COVID-19 Dashboard,2.0
COVID-19,Unspecified,AUSTRALIA,2020-02-01,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-02,World Health Organization COVID-19 Dashboard,3.0
COVID-19,Unspecified,AUSTRALIA,2020-02-03,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-04,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-05,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-02-06,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-02-07,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-02-08,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-09,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-10,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-11,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-12,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-13,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-14,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-15,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-16,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-17,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-18,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-19,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-20,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-21,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-22,World Health Organization COVID-19 Dashboard,6.0
COVID-19,Unspecified,AUSTRALIA,2020-02-23,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-02-24,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-25,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-26,World Health Organization COVID-19 Dashboard,1.0
COVID-19,Unspecified,AUSTRALIA,2020-02-27,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-28,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-02-29,World Health Organization COVID-19 Dashboard,2.0
COVID-19,Unspecified,AUSTRALIA,2020-03-01,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-03-02,World Health Organization COVID-19 Dashboard,4.0
COVID-19,Unspecified,AUSTRALIA,2020-03-03,World Health Organization COVID-19 Dashboard,0.0
COVID-19,Unspecified,AUSTRALIA,2020-03-04,World Health Organization COVID-19 Dashboard,4.0
COVID-19,Unspecified,AUSTRALIA,2020-03-05,World Health Organization COVID-19 Dashboard,10.0
COVID-19,Unspecified,AUSTRALIA,2020-03-06,World Health Organization COVID-19 Dashboard,14.0
COVID-19,Unspecified,AUSTRALIA,2020-03-07,World Health Organization COVID-19 Dashboard,6.0
COVID-19,Unspecified,AUSTRALIA,2020-03-08,World Health Organization COVID-19 Dashboard,7.0
COVID-19,Unspecified,AUSTRALIA,2020-03-09,World Health Organization COVID-19 Dashboard,7.0
COVID-19,Unspecified,AUSTRALIA,2020-03-10,World Health Organization COVID-19 Dashboard,15.0
COVID-19,Unspecified,AUSTRALIA,2020-03-11,World Health Organization COVID-19 Dashboard,8.0
COVID-19,Unspecified,AUSTRALIA,2020-03-12,World Health Organization COVID-19 Dashboard,22.0
COVID-19,Unspecified,AUSTRALIA,2020-03-13,World Health Organization COVID-19 Dashboard,18.0
COVID-19,Unspecified,AUSTRALIA,2020-03-14,World Health Organization COVID-19 Dashboard,57.0
COVID-19,Unspecified,AUSTRALIA,2020-03-15,World Health Organization COVID-19 Dashboard,52.0
COVID-19,Unspecified,AUSTRALIA,2020-03-16,World Health Organization COVID-19 Dashboard,49.0
COVID-19,Unspecified,AUSTRALIA,2020-03-17,World Health Organization COVID-19 Dashboard,38.0
COVID-19,Unspecified,AUSTRALIA,2020-03-18,World Health Organization COVID-19 Dashboard,78.0
