ConditionName,Outcome,CountryName,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-03-31,World Health Organization COVID-19 Dashboard,26250.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-01,World Health Organization COVID-19 Dashboard,15269.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-02,World Health Organization COVID-19 Dashboard,23701.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-03,World Health Organization COVID-19 Dashboard,28400.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-04,World Health Organization COVID-19 Dashboard,29912.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-05,World Health Organization COVID-19 Dashboard,31709.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-06,World Health Organization COVID-19 Dashboard,32491.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-07,World Health Organization COVID-19 Dashboard,27019.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-08,World Health Organization COVID-19 Dashboard,28615.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-09,World Health Organization COVID-19 Dashboard,29131.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-10,World Health Organization COVID-19 Dashboard,34163.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-11,World Health Organization COVID-19 Dashboard,34776.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-12,World Health Organization COVID-19 Dashboard,32644.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-13,World Health Organization COVID-19 Dashboard,32119.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-14,World Health Organization COVID-19 Dashboard,27137.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-15,World Health Organization COVID-19 Dashboard,24965.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-16,World Health Organization COVID-19 Dashboard,25058.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-17,World Health Organization COVID-19 Dashboard,25214.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-18,World Health Organization COVID-19 Dashboard,31625.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-19,World Health Organization COVID-19 Dashboard,30290.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-20,World Health Organization COVID-19 Dashboard,27651.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-21,World Health Organization COVID-19 Dashboard,26892.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-22,World Health Organization COVID-19 Dashboard,26063.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-23,World Health Organization COVID-19 Dashboard,25220.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-24,World Health Organization COVID-19 Dashboard,31124.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-25,World Health Organization COVID-19 Dashboard,32947.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-26,World Health Organization COVID-19 Dashboard,34872.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-27,World Health Organization COVID-19 Dashboard,32870.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-28,World Health Organization COVID-19 Dashboard,26575.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-29,World Health Organization COVID-19 Dashboard,24145.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-04-30,World Health Organization COVID-19 Dashboard,23580.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-01,World Health Organization COVID-19 Dashboard,27008.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-02,World Health Organization COVID-19 Dashboard,31426.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-03,World Health Organization COVID-19 Dashboard,32131.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-04,World Health Organization COVID-19 Dashboard,28395.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-05,World Health Organization COVID-19 Dashboard,26794.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-06,World Health Organization COVID-19 Dashboard,21533.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-07,World Health Organization COVID-19 Dashboard,22853.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-08,World Health Organization COVID-19 Dashboard,25299.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-09,World Health Organization COVID-19 Dashboard,29519.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-10,World Health Organization COVID-19 Dashboard,28303.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-11,World Health Organization COVID-19 Dashboard,25861.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-12,World Health Organization COVID-19 Dashboard,21613.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-13,World Health Organization COVID-19 Dashboard,19784.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-14,World Health Organization COVID-19 Dashboard,24181.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-15,World Health Organization COVID-19 Dashboard,17451.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-16,World Health Organization COVID-19 Dashboard,34350.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-17,World Health Organization COVID-19 Dashboard,26879.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-18,World Health Organization COVID-19 Dashboard,25816.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-19,World Health Organization COVID-19 Dashboard,20018.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-20,World Health Organization COVID-19 Dashboard,23114.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-21,World Health Organization COVID-19 Dashboard,21688.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-22,World Health Organization COVID-19 Dashboard,23974.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-23,World Health Organization COVID-19 Dashboard,25797.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-24,World Health Organization COVID-19 Dashboard,26005.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-25,World Health Organization COVID-19 Dashboard,21210.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-26,World Health Organization COVID-19 Dashboard,21677.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-27,World Health Organization COVID-19 Dashboard,19513.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-28,World Health Organization COVID-19 Dashboard,16814.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-29,World Health Organization COVID-19 Dashboard,19776.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-30,World Health Organization COVID-19 Dashboard,24188.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-05-31,World Health Organization COVID-19 Dashboard,23780.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-01,World Health Organization COVID-19 Dashboard,24067.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-02,World Health Organization COVID-19 Dashboard,21317.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-03,World Health Organization COVID-19 Dashboard,17207.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-04,World Health Organization COVID-19 Dashboard,20801.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-05,World Health Organization COVID-19 Dashboard,20987.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-06,World Health Organization COVID-19 Dashboard,20635.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-07,World Health Organization COVID-19 Dashboard,24698.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-08,World Health Organization COVID-19 Dashboard,23699.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-09,World Health Organization COVID-19 Dashboard,17753.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-10,World Health Organization COVID-19 Dashboard,18072.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-11,World Health Organization COVID-19 Dashboard,18526.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-12,World Health Organization COVID-19 Dashboard,22224.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-13,World Health Organization COVID-19 Dashboard,22979.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-14,World Health Organization COVID-19 Dashboard,28385.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-15,World Health Organization COVID-19 Dashboard,26406.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-16,World Health Organization COVID-19 Dashboard,20506.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-17,World Health Organization COVID-19 Dashboard,20673.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-18,World Health Organization COVID-19 Dashboard,24774.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-19,World Health Organization COVID-19 Dashboard,25817.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-20,World Health Organization COVID-19 Dashboard,28633.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-21,World Health Organization COVID-19 Dashboard,33191.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-22,World Health Organization COVID-19 Dashboard,33326.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-23,World Health Organization COVID-19 Dashboard,27245.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-24,World Health Organization COVID-19 Dashboard,28745.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-25,World Health Organization COVID-19 Dashboard,37883.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-26,World Health Organization COVID-19 Dashboard,37171.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-27,World Health Organization COVID-19 Dashboard,47153.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-28,World Health Organization COVID-19 Dashboard,46522.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-29,World Health Organization COVID-19 Dashboard,43398.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-06-30,World Health Organization COVID-19 Dashboard,37519.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-01,World Health Organization COVID-19 Dashboard,38654.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-02,World Health Organization COVID-19 Dashboard,46604.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-03,World Health Organization COVID-19 Dashboard,59257.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-04,World Health Organization COVID-19 Dashboard,55387.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-05,World Health Organization COVID-19 Dashboard,60317.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-06,World Health Organization COVID-19 Dashboard,49507.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-07,World Health Organization COVID-19 Dashboard,40011.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,2020-07-08,World Health Organization COVID-19 Dashboard,51044.0
